item_id,season,supplier_name,gt_color1,gt_color2,gt_color3,pred_detail_1,pred_detail_2,pred_detail_3,pred_main_1,pred_main_2,pred_main_3,is_multi,confidence_1,confidence_2,confidence_3,image_description,errors,latency_seconds,success,image_path
56067,2026_SS,Free Cloud,Multi,,,Multi,,,Multi,,,True,1.0,,,"The product features vibrant colors including bright yellow, deep blue, rich green, bold red, and soft pink. The finishes appear glossy, enhancing the brightness of the colors. There are geometric patterns with distinct color blocks. ",,7.85,True,../pics/2026_SS/Free Cloud_1567/images/56067_W2-36399-3_1_0_62271_merged_20241217_082106345.jpg
57664,2026_SS,Home Broad Arts And Crafts,Red,White,,Red,White,,Red,White,,False,0.95,0.85,,"The product features a dominant red color with a matte finish, accented by white elements. The numbers on the product are also in red against a white background. There are no patterns or gradients present. The overall design is simple and bold.",,24.72,True,../pics/2026_SS/Home Broad Arts And Crafts_1446/images/57664_24AB1353J_24AB1353K_24AB1353L_24AB1354J_0_62490_merged_20250122_072519737.jpg
73523,2026_AW,Export House,Black,,,Black,,,Black,,,False,0.95,,,"The coat rack features a dominant black color throughout, with a matte finish. The design includes five reindeer heads with antlers, all in the same black hue. The overall appearance is uniform without any additional colors or patterns.",,7.31,True,../pics/2026_AW/Export House_2144/images/73523_108741_0_SAMPLE REQUEST SHEET-Export House-2026_AW-SF2144_20250814_100724292.jpg
54177,2026_SS,Zibo Beacon,Green,,,Green,Black,,Green,Black,,False,0.9,0.85,,"The product features a dominant green color with a glossy finish, complemented by clear glass fins. The green has a slight gradient effect, enhancing its visual appeal. The fish also has small black accents for the eyes.",,7.17,True,../pics/2026_SS/Zibo Beacon_1708/images/54177_BQP0189-2_0_OK 2026_SS-Zibo Beacon-1708-INFORMATION-SHEET_20241129_102942002.jpg
57769,2026_SS,Rmv,Beige,,,Off-white,Brown,White,White,Brown,White,False,0.85,0.85,0.85,"The product features three elephants in distinct colors: a textured off-white, a rich brown, and a bright white. The finishes are matte, enhancing the natural look of the polyresin material. Each elephant has a striped pattern that adds depth to the colors.",,11.52,True,../pics/2026_SS/Rmv_1548/images/57769_RK250087-N1_N2_N3 BEIGE_0_RMV 1-2026 SELECTION SHEET.jpg
66938,2026_AW,V&S,Silver,,,Silver,,,Silver,,,False,0.95,,,"The product features a dominant shiny silver color with a metallic finish. The surface has a reflective quality, enhancing its luster. The design includes a series of ridges and curves, contributing to its visual texture. There are no distinct patterns or gradients. ",,8.01,True,../pics/2026_AW/V&S_2140/images/66938_24DS18513-2_0_FINAL PRICE +PACK REV.jpg
73645,2026_AW,Youti,Camel,,,Beige,Natural,,Beige,Natural,,False,0.9,0.8,,"The product features a dominant warm beige color with a soft, fuzzy texture. The material has a matte finish, enhancing the natural appearance. The base is a natural wood tone, providing contrast. Overall, the product exhibits a simple, cohesive color scheme.",,7.18,True,../pics/2026_AW/Youti_1771/images/73645_T187-25-light brown_0_ESTIMATED ORDER-Youti-2026_AW-SF1771 (1).jpg
57221,2026_SS,Top Pound,Black,,,Black,,,Black,,,False,0.95,,,"The product features a dominant black color with a matte finish. Both the top and bottom surfaces are uniformly black, contributing to a sleek and modern appearance.",,7.32,True,../pics/2026_SS/Top Pound_982/images/57221_1-19369S_0_2026_SS-Top Pound-982-SELECTION-SHEET CP SELECTION.jpg
59248,2026_SS,Joyful Xianju Gifts Co L,Natural,White,,Natural,White,,Natural,White,,False,0.95,0.85,,"The product features a natural wood tone with a light brown base, accented by a matte finish. The tails are a soft white, providing a subtle contrast. There are slight variations in the wood grain, but overall, the color remains consistent.",,7.26,True,../pics/2026_SS/Joyful Xianju Gifts Co L_1786/images/59248_JLP19802-3A_0_INFORMATION SHEET-Joyful Xianju Gifts Co L-2026_SS-SF1786.jpg
49895,2026_SS,Sitong,Off-white,Orange,,Orange,White,,Orange,White,,False,0.9,0.85,,"The product features a vibrant orange color with alternating white stripes. The finish appears glossy, enhancing the brightness of the colors. The overall design showcases a bold, striped pattern.",,7.79,True,../pics/2026_SS/Sitong_1762/images/49895_CV13384-14-CJ-240628-b orange_0_2026_SS-Sitong-1762-INFORMATION-SHEET.jpg
74388,2026_AW,Shengfeng,Gold,,,Gold,Copper,,Gold,Copper,,False,0.9,0.85,,"The wreath features dominant shades of copper and gold, with a glossy finish that enhances the metallic sheen. The colors are interspersed with reflective elements, creating a shimmering effect. There are no distinct patterns or gradients, just a harmonious blend of the two colors.",,9.32,True,../pics/2026_AW/Shengfeng_1820/images/74388_23CH0465-80_0_ok SELECTION SHEET-Shengfeng-2026_AW-SF1820.jpg
74093,2026_AW,TIO homedesign,Orange,Fuchsia,,Pink,Orange,,Pink,Orange,,False,0.9,0.85,,"The product features two distinct glass candle holders. The left holder is a vibrant pink with a glossy finish, while the right holder is a warm amber orange, also with a glossy finish. Both have a floral design at the top and a smooth, tapered stem. The overall appearance is bright and eye-catching.",,9.33,True,../pics/2026_AW/TIO homedesign_2620/images/74093_25S01237_25S01237-2_0_268503_merged_20250806_081614094.jpg
59760,2026_SS,Evergreat International Co,Natural,Azure blue,,Beige,Light blue,,Beige,Blue,,False,0.9,0.85,,"The baskets feature a dominant natural beige color with light blue accents. The beige is a matte finish, while the blue has a slightly glossy appearance. The design includes vertical stripes of blue interwoven with the beige material.",,9.53,True,../pics/2026_SS/Evergreat International Co_1784/images/59760_EG034420-WHITE_G73_0_new to import - SELECTION SHEET-Evergreat International Co-2026_SS-SF1784.jpg
69862,2026_AW,Rapc BALI,Natural,Transparent,,Natural,Transparent,,Natural,Transparent,,False,0.95,0.9,,"The product features a natural wood tone for the base, complemented by clear glass for the cups. The wood has a matte finish, while the glass is transparent and glossy.",,6.45,True,../pics/2026_SS/Rapc_2562/images/69862_12376_0_SELECTION SHEET-Rapc-2026_SS-SF2562 (3).jpg
43639,2026_AW,Dingsheng Gift,Ecru,Beige,,Off-white,Beige,,White,Beige,,False,0.9,0.85,,"The product features a predominantly off-white color with subtle beige accents, particularly on the dress and floral crown. The surface has a matte finish with a weathered texture, revealing some underlying layers. The overall appearance is soft and vintage, with a gentle, aged look. There are no distinct patterns or gradients.",,9.06,True,../pics/2026_AW/Dingsheng Gift_1543/images/43639_19787_0_SELECTION SHEET-Dingsheng Gift-2026_AW-SF1543.jpg
71143,2026_AW,Joyland,Dark brown,Champagne,,Brown,Beige,,Brown,Beige,,False,0.9,0.85,,"The product features a dominant dark brown color with a glossy finish, complemented by lighter beige and tan stripes. The overall texture is woven, showcasing a natural look. The lighter tones add contrast to the darker base, creating a subtle gradient effect.",,7.89,True,../pics/2026_AW/Joyland_2266/images/71143_25W578_0_ESTIMATED ORDER - Joyland-2026_AW-SF2266.jpg
71616,2026_AW,Meizhou Jinfang,Dark green,,,Green,,,Green,,,False,0.95,,,"The product features a dominant dark green color with a glossy finish, enhanced by numerous shiny green sequins that create a sparkling effect. The overall appearance is vibrant and festive, with variations in the green shades due to the sequins. The base is a solid dark green. ",,7.51,True,../pics/2026_AW/Meizhou Jinfang_2213/images/71616_E14606-GR-60CM_E14606-GR-50CM_E14606-GR-40CM_0_266725_merged_20250626_092656081.jpg
